Timestep,Reward
10000,-500.0
20000,-500.0
30000,-500.0
40000,-500.0
50000,-500.0
60000,-500.0
70000,-500.0
80000,-491.35
90000,-497.15
100000,-485.2
110000,-498.4
120000,-497.5
130000,-496.05
140000,-497.6
150000,-494.25
160000,-493.4
170000,-494.2
180000,-491.85
190000,-487.2
200000,-500.0
210000,-500.0
220000,-500.0
230000,-490.75
240000,-500.0
250000,-496.85
260000,-500.0
270000,-500.0
280000,-500.0
290000,-500.0
300000,-500.0
310000,-500.0
320000,-500.0
330000,-500.0
340000,-500.0
350000,-500.0
360000,-500.0
370000,-500.0
380000,-500.0
390000,-500.0
400000,-500.0
410000,-500.0
420000,-500.0
430000,-500.0
440000,-500.0
450000,-500.0
460000,-500.0
470000,-500.0
480000,-500.0
490000,-500.0
500000,-500.0
510000,-500.0
520000,-500.0
530000,-500.0
540000,-500.0
550000,-500.0
560000,-500.0
570000,-500.0
580000,-500.0
590000,-500.0
600000,-500.0
610000,-500.0
620000,-500.0
630000,-500.0
640000,-500.0
650000,-500.0
660000,-500.0
670000,-500.0
680000,-500.0
690000,-500.0
700000,-500.0
710000,-500.0
720000,-500.0
730000,-500.0
740000,-500.0
750000,-500.0
760000,-500.0
770000,-500.0
780000,-500.0
790000,-500.0
800000,-500.0
810000,-500.0
820000,-500.0
830000,-500.0
840000,-500.0
850000,-500.0
860000,-500.0
870000,-500.0
880000,-500.0
890000,-500.0
900000,-500.0
910000,-500.0
920000,-500.0
930000,-500.0
940000,-500.0
950000,-500.0
960000,-500.0
970000,-500.0
980000,-500.0
990000,-500.0
1000000,-500.0
